native_base_type,count
parameter,7911
attribwrangle,5124
switch,3603
null,3413
subinput,1535
blast,1388
merge,1208
output,1181
block_begin,1174
object_merge,1023
suboutput,1002
attribpromote,969
multiply,925
groupcreate,921
constant,843
xform,826
attribdelete,754
block_end,747
add,717
twoway,676
bind,640
vectofloat,555
fuse,505
inline,486
subnet,417
global,408
divide,382
normal,365
split,360
compare,357
color,320
compile_begin,302
ifconnected,299
channelcopy,271
connectivity,270
copytopoints,266
resample,263
attribtransfer,255
comp,240
measure,235
renderstate,233
grouppromote,228
python,225
subtract,225
facet,216
polyextrude,214
groupdelete,213
attribcreate,210
compile_end,210
floattovec,208
attribcopy,205
file,204
clamp,204
normalize,201
texture,182
sort,180
grid,163
carve,161
timeshift,161
snippet,145
switchif,143
dissolve,140
mix,138
attribvop,137
mulconst,134
ray,133
reverse,133
attribute,131
convert,131
geometryvopoutput,131
delete,125
uvcoords,125
geometryvopglobal,124
boolean,121
clean,120
luminance,119
polypath,114
fit,114
vopcop2gen,113
vopcop2filter,113
knife,112
qrotate,112
groupcombine,111
attribblur,110
matchsize,110
box,109
orientalongcurve,109
isconnected,103
material,102
groupexpression,101
scatter,92
maddconst,91
complement,90
pack,87
addconst,86
polyfill,85
shadinglayer,84
shell,82
circle,80
polyframe,80
hvectovec,80
geo,78
enumerate,77
filecache,76
rop_comp,76
displacenml,75
line,74
convertline,73
surfacecolor,72
getattrib,71
vdbfrompolygons,70
quaternion,67
grouprange,65
vec2tofloat,65
inttofloat,64
sweep,61
length,61
bound,60
cop2net,58
unpack,57
sopimport,57
dot,56
cross,55
clip,54
rampparm,54
m4tom3,54
transformspace,52
grouptransfer,51
rest,50
pythonprocessor,49
sphere,47
matnet,47
floor,47
equalize,47
error,46
turbnoise,46
attribnoise,45
getlayerexport,44
layerexport,44
subconst,44
importdetail,44
rename,43
copinput,43
groupexpand,41
computetan,41
splitpoints,40
join,40
over,40
convertvdb,39
vertexsplit,39
and,38
ceiling,38
negate,37
dopimport,37
crop,37
modulo,37
polyreduce,36
